6799	
3940	
3751	
6552	6552
6512	6512
7810	
3914	3910
	
5651	5651
3559	
7373	7373
5411	
6798	6798
	5961
2020	2020
6799	
3079	
3330	
3990	
3580	3580
3845	
7990	7900
3679	
3825	
	5040
8711	8711
5311	
6799	6799
3560	9997
6552	
	7812
5411	5411
6792	
3740	
4213	4213
3661	
1731	1731
2400	2400
	2836
3662	
7372	7372
	8742
3576	3576
7370	7370
	3661
7373	7373
5070	5070
2860	
3743	3743
	2750
	3312
4731	5010
3560	
	4833
	4833
3069	
6331	
4841	4841
7373	7373
7373	7373
	3470
3069	
7310	7310
7363	7363
	2834
	7372
3250	3250
4210	
7374	
3651	
5030	
2200	
	3674
	5531
	3790
3080	3080
3577	3577
3845	3845
	7389
	7374
	3825
3651	
5731	
3663	3663
	3842
4610	
	8711
7310	7310
	4911
3449	
3728	
3823	
3721	
3820	
3430	
3662	
3679	
3460	3460
2711	2711
2711	
	5940
3699	3825
3559	3559
8711	
8711	
8711	
	2800
	2040
200	
6500	6500
2040	5172
8050	
3662	
2421	
4511	
4712	
3452	
3560	
4511	
3060	
2810	
7011	7011
3679	
3721	3721
4512	4512
2841	
	3585
3663	
3560	
2030	2030
	2844
1381	
2800	2851
	4924
	4911
	7990
7373	7373
1311	1311
7394	
4512	4512
1600	
2450	
1000	
5172	
4813	4813
3661	3661
	3674
5110	5110
2810	
2830	
5199	
3640	
1311	1311
8200	
2330	
4400	
5140	
4813	
7372	7372
5412	
2300	
2834	2834
7812	7812
4833	4833
3452	3452
	4911
3679	
7011	
2836	
3570	
2836	2836
	3580
	7389
	1220
3011	3011
3728	
3716	
7810	
3610	
	2085
2042	
5311	5311
3662	
3580	
4213	4213
3310	
4811	
3674	
7011	
2020	
7394	
4813	4813
4813	4813
4813	4813
4813	4813
2731	
5411	5411
2085	
5661	
2844	2844
4822	
5140	5140
7990	7990
1382	
1600	1600
200	
5099	
1311	
	2800
3312	3312
3334	3334
	3334
3390	
	3661
3711	3711
2834	2834
3576	3576
3714	
6512	6512
1311	
2300	2300
5012	
2650	2670
3241	3241
	6726
7372	7372
3420	3420
3662	
	1520
5084	5084
	5030
8062	8062
1311	1311
	4812
3558	
4512	4512
3330	
	
2700	
8060	
2111	2111
7000	7000
3560	
	4400
1520	
7399	
2060	2060
1600	
3449	
1311	
	4412
1311	1311
8741	
6798	6798
1311	1311
6798	6798
3080	3080
7399	
6798	6798
2400	
6799	6799
100	
3140	
5070	5072
8060	
8062	8062
6512	6512
4811	4813
4811	4813
3079	
	6311
7810	7812
3560	
	2721
7399	
3730	3730
3730	
	8071
8062	
8060	
5912	5912
2200	2200
4812	4812
6552	6552
5999	
1389	1389
1040	1040
	1700
3079	
6552	1531
6512	3714
5040	
7394	
5812	5812
5812	5812
1311	1311
3714	
5661	
5812	5812
2000	
3585	3585
5411	5411
3652	
3990	
4811	4813
3661	
7372	7373
	5010
	2621
4890	
3842	3842
7399	
8050	8051
	6324
4220	4220
5900	5900
	5812
5122	5122
	5122
3089	3089
2835	2835
	2836
2520	
1211	
2010	
5172	5172
2911	2911
3390	
3651	
3695	3695
2834	2834
2650	2650
3540	3540
2062	
1000	
3560	
4210	
5122	5122
3310	
1311	1311
	1311
4412	4412
3350	
	6036
3990	
3460	
5812	
	3576
3558	
3610	
1311	
	7310
2080	
	5122
3079	
7372	7372
3679	3679
3842	
6799	6799
6799	1000
1040	1040
3861	3861
3499	3490
	4922
5013	3842
3499	
3560	
4833	4833
	7371
	6324
	6324
5311	5311
6799	
2320	2320
1000	
1000	
1311	2911
	7812
	7510
3620	3620
1311	1311
	8731
2911	
1311	
3670	
6798	6798
	8200
	4911
5411	
	8731
	3826
	2670
